221,GRB190407B,292359282.0,"208.3,",-6.9,"53.30,",177.92,2.3
220,GRB190331C,291759121.1,--,--,0.16
219,GRB190326B,291281500.0,"264.2,",68.3,"51.80,",107.56,54.3
218,GRB190323A,291071125.0,--,--,36.6
217,GRB190320A,290740457.49,"117.811,",-45.890,"61.80,",265.69
216,GRB190315A,290348263.0,"146.0,",-13.8,"55.92,",220.64,31
215,GRB190215A,287951483.48,"340.4,",+37.5,"94.30,",310.59,23
214,GRB190206A,287120969.5,"313.33,",-30.51,"102.18,",344.66,0.94
213,GRB190204A,286955162.0,"351.514,",+54.878,"78.42,",322.0,11.9
212,GRB190203A,286904649.0,"22.59,",55.72,"117.37,",99.76,46.5
211,GRB190202A,286767571.0,"166.5026,",9.3769,"104.95,",192.83,14.8
210,GRB190131A,286672111.0,--,--,17.6
209,GRB190129B,286460135.0,"117.28,",1.26,"81.33,",158.28,15.8
208,GRB190126A,286175680.3,--,--,9.2
207,GRB190122B,285872223.01,--,--,4.18
206,GRB190117A,285431808.0,"113.864,",6.519,--,22.75
205,GRB190103A,284229717.01,"251.409,",17.392,--,25.4
204,GRB181222A,283156894.25,"270.731,",-38.848,"89.43,",38.85,117
203,GRB181201A,281327880.0,"319.30,",-12.62,"42.28,",18.95,19.2
202,GRB181123B,280647183.0,"184.348,",+14.589,"91.58,",2.61
201,GRB181121A,280529016.283,--,--,1.4
200,GRB181119A,280333947.2,--,--,19.6
199,GRB181026A,278254620.98,"352.42,",-47.37,"47.83,",83.08,30.2
198,GRB181020A,277758033.0,"13.98251,",-47.38033,"48.92,",102.53,19.4
197,GRB180925A,275582251.0,"315.20,",-64.46,"110.83,",233.47,34.7
196,GRB180914B,274645382.2,"332.45,",24.88,"36.45,",314.92,146.8
195,GRB180914A,274624307.2,"52.74,",-5.26,"52.92,",173.40,125.6
194,GRB180828A,273178654.0,"268.72,",-25.80,"91.15,",25.80,8.9
193,GRB180816A,272081258.208,--,--
192,GRB180809B,271542528.0,"299.712,",-15.302,"61.44,",17.49,44.1
191,GRB180806A,271291139.66,"11.554,",+24.337,"26.79,",246.15,25.8
190,GRB180728A,270494940.0,"253.569,",-54.031,"99.56,",55.16,13.4
189,GRB180724A,270156151.0,--,--,30.3
188,GRB180723A,270065385.493,"7.84,",-66.11,"66.35,",93.46,25.3
187,GRB180722B,269999358.9,--,--
186,GRB180715B,269372839.09,"210.65,",82.06,"96.83,",274.07,1.7
185,GRB180715A,269374025.0,"235.069,",-0.925,"124.93,",1.13,0.9
184,GRB180711A,269024522.37,--,--,4.9
183,GRB180704A,268378602.0,"32.6592,",69.9641,"73.22,",258.86,26
182,GRB180703B,268354011.32,"96.92,",-29.88,"96.0,",149.94
181,GRB180703A,268347700.5,"6.4693,",-67.1802,"67.26,",92.75,20.9
180,GRB180620B,267205837.0,"357.517,",-57.957,"57.99,",88.45,22.3
179,GRB180620A,267179698.0,"279.89575,",23.24373,"83.04,",136.30,14.8
178,GRB180618A,266978593.0,"169.937,",+73.848,"39.11,",357.74,2.1
177,GRB180611A,266383741.0,"46.471,",-48.835,"115.78,",277.66,11.5
176,GRB180605A,265892370.013,--,--,24.6
175,GRB180603A,265738980.0,--,--,31.1
174,GRB180529A,265278554.0,"97.947,",-54.908,"102.65,",80.99,2.9
173,GRB180526A,265028659.012,--,--,23.8
172,GRB180505A,263221029.9,"4.51,",-59.89,"59.99,",92.61,22.8
171,GRB180504B,263099760.02,--,--,42.3
170,GRB180427A,262521423.04,"283.33,",+70.30,"40.81,",257.79,22.4
169,GRB180426A,262444262.03,--,--,12.4
168,GRB180416D,261548727.0,--,--,96.6
167,GRB180416C,261562255.02,--,--,9.14
166,GRB180416B,261612609.279,"353.54,",74.63,"81.88,",297.48,56.3
165,GRB180416A,261562167.17,"113.65,",-49.12,"71.53,",93.93,92.6
164,GRB180411C,261145715.0,--,--,28.1
163,GRB180404B,260503904.0,"53.384,",-50.195,"120.18,",303.74,44
162,GRB180403A,260458375.02,--,--,25.1
161,GRB180402A,260358299.0,"251.905,",-14.963,"-114.94,",119.25
160,GRB180401A,260309858.07,--,--,20.9
159,GRB180326A,259730767.0,--,--
158,GRB180325A,259638782.0,"157.42735,",+24.46361,"-73.36,",-25.97,15.7
157,GRB180324A,259562229.0,"76.585,",+56.725,"138.31,",185.68
156,GRB180314A,258684211.0,"99.26522,",-24.49627,"26.78,",124.24,37.3
155,GRB180305A,257937968.66,"49.61821,",32.10994,"104.38,",79.57,8.9
154,GRB180221B,256912201.0,--,--
153,GRB180218A,256662845.49,"47.23,",46.65,"111.21,",122.62,4.9
152,GRB180210A,255961478.6,"3.33,",21.01,"133.61,",117.34
151,GRB180120A,254120293.0,"151.77,",27.79,"15.89,",206.28,26.8
150,GRB180113B,253498560.47,"354.0,",13.5,"14.75,",293.53,10.8
149,GRB180113A,253507626.0,"19.215,",+68.682,"69.92,",262.68,14.3
148,GRB180112B,253483946.0,--,--,8.48
147,GRB180112A,253470638.0,"173.92,",23.06,"49.65,",249.84,209.0
146,GRB180103A,252637710.0,"159.585,",-53.555,"52.33,",108.17,147.1
145,GRB171227A,252028813.40,"280.7,",-35.0,"146.49,",353.57,25.4
144,GRB171223A,251753895.07,"115.84,",-33.48,"88.62,",231.83,0.27
143,GRB171205A,250154443.0,"167.45,",12.60,"144.19,",228.62
142,GRB171126A,249370723.71,"237.84,",+46.76,"106.52,",285.63,1.05
141,GRB171124A,249197876.5,"335.52,",35.22,"123.94,",241.22,8.4
140,GRB171120A,248880002.0,"163.7911,",22.4584,"164.31,",275.53,6.8
139,GRB17119A,248831307.0,--,--,10.3
138,GRB171112A,248215801.0,"20.467,",-59.678,"100.83,",120.80
137,GRB171103A,247446633.0,"249.536,",-10.215,"65.53,",16.19,0.46
136,GRB171101A,247229388.9,--,--
135,GRB171027A,246788587.0,61.680,-2.606,"66.00,",216.13
134,GRB171010A,245358051.58,"66.74,",-10.53,"55.30,",35.19,70.3
133,GRB170921B,243662532.51,"134.38,",46.46,"139.48,",318.17,30.5
132,GRB170915A,243143491.0,--,--,10.6
131,GRB170906A,242354592.0,"203.9546,",-47.1007,"146.26,",263.22,70.5
130,GRB170901B,241963200.06,--,--,20.7
129,GRB170830A,241758930.0,"267.244,",-2.000,"25.04,",50.17
128,GRB170825B,241358409.01,--,--,5.9
127,GRB170822A,241089112.0,"94.3869,",55.0040,"51.87,",296.34
126,GRB170820A,240923526.1,--,--
125,GRB170808B,239927270.01,--,--,15.8
124,GRB170805A,239639915.40,--,--
123,GRB170803B,239493632.78,--,--
122,GRB170803A,239477428.00,"174.950,",-16.311,"175.13,",58.85
121,GRB170802A,239383105.8,"52.3,",-39.2,"93.77,",96.79
120,GRB170728B,238979000.0,238.044,+70.142,"146.0,",273.59
119,GRB170726A,238791780.976,--,--
118,GRB170712A,237525631.0,--,--
117,GRB170705A,236918748.0,"191.705,",+18.293,"53.59,",74.1,14.9
117,GRB170702A,236734894.0,--,--
116,GRB170614B,235136397.0,"220.7,",47.5,"29.19,",310.95,27.0
115,GRB170614A,235136396.9,"70.55,",37.93,"116.50,",340.25,21.4
114,GRB170607B,234571319.95,"257.08,",-35.68,"96.32,",178.63,21.8
113,GRB170607A,234573480.57,"7.36,",9.24,"109.24,",294.42
112,GRB170529A,233737542.567,--,--,33.5
111,GRB170527A,233580663.37,"195.19,",+0.94,"26.54,",101.57
110,GRB170511A,232178352.92,"300.633,",33.315,"81.22,",263.31
109,GRB170510A,232089146.73,"159.91,",-39.32,"107.74,",116.84,67.8
108,GRB170424A,230724751.75,"343.7,",-45.12,"157.58,",186.20
107,GRB170423B,230676926.04,--,--,17.3
106,GRB170403B,228934652.18,--,--
105,GRB170402A,228811851.076,--,--
104,GRB170330A,228608821.0,"283.326,",-13.437,"73.80,",56.94,15.6
103,GRB170329A,228475026.94,"356.6,",9.8,"66.59,",4.78,14.1
102,GRB170316A,227379745.0,--,--,14.3
101,GRB170311C,226935913.01,--,--,10.8
100,GRB170311B,226935890.0,"354.919,",+31.187,"107.36,",32.72,13.4
99,GRB170309A,226758402.0,--,--
98,GRB170304A,226281866.07,"330.50,",-73.76,"43.32,",295.58
97,GRB170228A,226004580.71,"239.55,",-3.59,"51.06,",109.42,14.1
96,GRB170222A,225435659.0,"312.10,",+12.45,"86.31,",351.59
95,GRB170220A,225312481.0,--,--
94,GRB170216A,224959176.0,--,--,22.7
93,GRB170210B,224390896.0,"107.1,",0.0,"107.70,",220.33,39.0
92,GRB170209A,224298518.08,"113.40,",-49.64,"100.66,",235.16,40.4
91,GRB170208A,224273476.0,"166.563,",-46.779,"70.79,",253.29,10.7
90,GRB170207A,224199903.67,"325.87,",+50.05,"84.88,",47.04,36.5
89,GRB170202B,223715994.0,--,--
88,GRB170202A,223756082.0,"152.529,",+5.002,"46.38,",203.52
87,GRB170127C,223176947.79,"336.38,",-63.4,"46.76,",307.28,0.91
86,GRB170126A,223126242.0,"263.579,",-64.757,"107.08,",303.83
85,GRB170124A,222987484.58,--,--
84,GRB170121B,222705862.41,"72.84,",-12.65,"116.22,",204.34,28.3
83,GRB170121A,222658615.20,"3.0,",-75.62,"109,",70.58
82,GRB170115B,222198554.03,"189.03,",-51.55,"116.52,",127.36,15.3
81,GRB170105A,221292847.0,--,--
80,GRB170102A,221021478.0,--,--
79,GRB170101B,220934837.87,70.6,",",-1.6,-,-
78,GRB161218B,219745960.0,358.64,",",-16.95,"121.63,",117.71
77,GRB161207A,218839380.4,--,--
76,GRB161203A,218486466.318,--,--,8.6
75,GRB161202A,218416310.0,"356.895,+19.640","92.56,",247.2,75.25
74,GRB161129A,218099499.0,"316.193,",+32.125,"63.26,",316.90,34.06
73,GRB161023A,214958320.0,"311.03,",-47.66,"103.77,",112.35,44.0
72,GRB161015A,214246987.03,"269.15,",30.19,"55.89,",272.83,22.0
71,GRB161010A,213802592.0,"275.22,-28.79","112.37,",100.88
70,GRB161004B,213318479.0,"112.15,-39.89","140.30,",32.33,13.1
69,GRB160917B,211805772.0,--,--
68,GRB160917A,211807819.0,"295.67,46.39","125.97,",67.24,21
67,GRB160915A,211675872.0,--,--
66,GRB160910A,211223979.15,"221.8,39.6","65.32,",332.32,9.5
65,GRB160829B,210176329.0,--,--,5.75
64,GRB160824B,209744472.34,73.0,",68.0","46.43,",92.41,2.9
63,GRB160824A,209742690.0,--,--,18.7
62,GRB160821A,209507670.0,"171.25,",42.34,"156.18,",59.18,42.0
61,GRB160806A,208188060.0,--,--
60,GRB160805A,208131979.9,--,--,20.7
59,GRB160804B,207980322.7,--,--
58,GRB160804A,207980322.7,--,--
57,GRB160802A,207814409.0,"35.29,",72.69,"52.95,",273.18,16.8
56,GRB160720B,206735125.0,--,--,14.34
55,GRB160720A,206735037.0,"43.0,+76.0","144.32,",80.15,21.0
54,GRB160721A,206824858.5,--,--
53,GRB160712A,206049221.0,"304.16,-26.958","92.43,177.87"
52,GRB160709A,205789743.464,"236.00,-28.18","123.82,",230.13,0.49
51,GRB160703A,205243807.0,"287.39,",36.90,"10.15,",95.08,45.0
50,SGR1935+2154,204645270.0,"293.73,",21.89,--
49,GRB160630A,204955449.0,"198.259,-56.042","106.92,239.03"
48,GRB160625B,204528715.0,"308.56,6.93","140.54,152.90"
47,204354034.23,"315.24,",42.27,"140.52,",118.09
46,GRB160607A,202994040.0,"13.667,-4.95","138.85,",315.78
45,GRB160530A,202287826.000,"120.2,-26.2","91.59,",68.91
44,GRB160527A,202010137.0,"218.43,6.68","38.46,159.21"
43,GRB160525C,201869670.000,--,--,5.075
42,GRB160522A,201609661.0,"104.7,",21.19,"57.16,",28.16
41,201518040.030,"156,",76,"51.24,",317.02,3
40,GRB160518A,201228952.0,"275.14,",82.41,"47.95,",63.53
39,GRB160516A,201073307.0,"310.83,",-55.33,"91.04,",246.49
38,GRB160509A,200480326.0,"311.3,",76.1,"105.66,",85.52
37,GRB160508B,200413953.0,--,--
36,GRB160508A,200413953.730,"28.7,36.28","136.34,",34.86,24.97
35,199022342.81,"42.05,",-57.9,"136.40,",82.80,12
34,GRB160418A,198698926.3,--,--,--
33,GRB160401A,197170442.0,"290.19,-28.9","155.15,19.33"
